masked_sentence,idiom,label
הטוענים כי ראש העיריה אינו רגיש לתביעותינו הוכיחו בדגמות שהציגו כי <mask>,איפכא מסתברא,1
הטוענים כי ראש העיריה אינו רגיש לתביעותינו הוכיחו בדגמות שהציגו כי <mask>,הניח דעתו,0
בראות רבים מאתנו את השחיתות בצמרת אנו מציינים בצער על מצבה של המדינה ומוסיפים: <mask>,אל הנער הזה התפללתי,1
בראות רבים מאתנו את השחיתות בצמרת אנו מציינים בצער על מצבה של המדינה ומוסיפים: <mask>,קורע לב,0
"רבים מחברי הכנסת נוהגים בהתנשאות, והתנהגותם משדרת <mask>",אני ואפסי עוד,1
"רבים מחברי הכנסת נוהגים בהתנשאות, והתנהגותם משדרת <mask>",שקלא וטריא,0
המפקד הדח עקב העבדה שהעליב את הטירון והתיחס אליו בבוז כאלו היה <mask>,אסקופה הנדרסת,1
המפקד הדח עקב העבדה שהעליב את הטירון והתיחס אליו בבוז כאלו היה <mask>,מרבה נכסים מרבה דאגה,0
המנהיג הנודע <mask> בגיל 100.,בא אל אבותיו,1
המנהיג הנודע <mask> בגיל 100.,ליל שימורים,0
רב הקהלה <mask> ועדין דעתו צלולה.,בא בימים,1
רב הקהלה <mask> ועדין דעתו צלולה.,כקריעת ים סוף,0
"רוכשי הדרה החדשה הצטערו על קנית הדרה. הם חשו כי <mask> לאחר שהרצפה שקעה, הקיר נסדק, והברז דלף.",באו מים עד נפש,1
"רוכשי הדרה החדשה הצטערו על קנית הדרה. הם חשו כי <mask> לאחר שהרצפה שקעה, הקיר נסדק, והברז דלף.",הקדיח תבשילו ברבים,0
"אומרים על האיש שהתדר בהשכלתו, ולכן נבחר לתפקיד הבכיר במשרד שהוא אינו אלא <mask>",בור ועם הארץ,1
"אומרים על האיש שהתדר בהשכלתו, ולכן נבחר לתפקיד הבכיר במשרד שהוא אינו אלא <mask>",מפח נפש,0
ידידי זוכר כל פרט שלומד <mask>,בור סוד שאינו מאבד טיפה,1
ידידי זוכר כל פרט שלומד <mask>,אסקופה הנדרסת,0
"קראתי את מכתבו של הנער, ומבין <mask> שהוא אינו אוהב את שכניו.",בין השיטין,1
"קראתי את מכתבו של הנער, ומבין <mask> שהוא אינו אוהב את שכניו.",די לחכימא ברמיזא,0
"לדעת מורים רבים, בטול התלבשת האחידה בבתי הספר הוא <mask>",בכיה לדורות,1
"לדעת מורים רבים, בטול התלבשת האחידה בבתי הספר הוא <mask>",כל קצווי ארץ,0
הרופא תאר את המאבק הרפואי החמור של ראש הממשלה כמות שהוא <mask>,בלא כחל ובלא שרק,1
הרופא תאר את המאבק הרפואי החמור של ראש הממשלה כמות שהוא <mask>,בא בימים,0
"אישים רבים, קשה לפים אותם <mask>",בעידנא דריתחא,1
"אישים רבים, קשה לפים אותם <mask>",כחומר ביד היוצר,0
בעקבות בחירתה של הבחורה לכנסת גבה <mask> נוהגת בהתנשאות.,גבה לבו,1
בעקבות בחירתה של הבחורה לכנסת גבה <mask> נוהגת בהתנשאות.,משנה סדורה לו,0
מפקדים מהללים בצהל [צבא הגנה <mask> אמר להתפטר לאחר מלחמת לבנון השניה.,גמר אומר,1
מפקדים מהללים בצהל [צבא הגנה <mask> אמר להתפטר לאחר מלחמת לבנון השניה.,נשיאים ורוח וגשם אין,0
בשיחתי עם הגננת על אודות נכדי היא <mask>,גמר עליו את ההלל,1
בשיחתי עם הגננת על אודות נכדי היא <mask>,מול שוקת שבורה,0
"בן ורועי הם נכדים נבונים, ואם הם לא הבינו את דברי הגננת, משמע שיש <mask>",דברים בגו,1
"בן ורועי הם נכדים נבונים, ואם הם לא הבינו את דברי הגננת, משמע שיש <mask>",כקליפת השום,0
אתרים רבים המציעים חפשה משלמת דוחקים <mask> של סוכני הנסיעות.,דחק את רגליו,1
אתרים רבים המציעים חפשה משלמת דוחקים <mask> של סוכני הנסיעות.,ותו לא,0
"לפי רמזי העתונאים, פלוני, בנו של בכיר בשלטון, לא זכה בתפקיד בזכות כשוריו בלבד, <mask>",די לחכימא ברמיזא,1
"לפי רמזי העתונאים, פלוני, בנו של בכיר בשלטון, לא זכה בתפקיד בזכות כשוריו בלבד, <mask>",רחץ בנקיון כפיו,0
לא נרשמתי עדין לשנת הלמודים הבאה – <mask>,דיה לצרה בשעתה,1
לא נרשמתי עדין לשנת הלמודים הבאה – <mask>,מפח נפש,0
"לאחר שהטיס הצעיר בצע פעלות נועזות בקרבות אויר הבינו מפקדיו, כי <mask> בשמי הטסת.",דרך כוכב,1
"לאחר שהטיס הצעיר בצע פעלות נועזות בקרבות אויר הבינו מפקדיו, כי <mask> בשמי הטסת.",מגלה טפח ומכסה טפחיים,0
"רוכשי הדרה החדשה הצטערו על קנית הדרה. הם חשו כי <mask> לאחר שהרצפה שקעה, הקיר נסדק, והברז דלף.",הגיעו מים עד נפש,1
"רוכשי הדרה החדשה הצטערו על קנית הדרה. הם חשו כי <mask> לאחר שהרצפה שקעה, הקיר נסדק, והברז דלף.",עזר כנגדו,0
השר שהאשם בהברחת סמים בקש <mask> ולהנצל מחקירה בזכות היותו בעל חסינות.,החזיק בקרנות המזבח,1
השר שהאשם בהברחת סמים בקש <mask> ולהנצל מחקירה בזכות היותו בעל חסינות.,אין תוכו כברו,0
באמצע עונת המשחקים מנו מאמן חדש לקבוצה כדי <mask>,החזיר עטרה ליושנה,1
באמצע עונת המשחקים מנו מאמן חדש לקבוצה כדי <mask>,בור סוד שאינו מאבד טיפה,0
הנצבים במשטרת ישראל <mask> לאחר ששמעו את דבריו של השר לבטחון פנים.,היה כמרקחה,1
הנצבים במשטרת ישראל <mask> לאחר ששמעו את דבריו של השר לבטחון פנים.,שפה אחת ודברים אחדים,0
"ההתיחסות המזלזלת של ראשי האוצר לתביעות המורים <mask> לראשי ארגון המורים, ולכן החלט על השבתת בתי הספר.",היה לו לזרא,1
"ההתיחסות המזלזלת של ראשי האוצר לתביעות המורים <mask> לראשי ארגון המורים, ולכן החלט על השבתת בתי הספר.",תקע כף,0
"אזכור הנופלים בדברי המנהיגים על מלחמת לבנון השניה הוא <mask> ההורים השכולים, ולכן הם פונים ומבקשים להניח לנפלים.",היה לצנינים בעיניו,1
"אזכור הנופלים בדברי המנהיגים על מלחמת לבנון השניה הוא <mask> ההורים השכולים, ולכן הם פונים ומבקשים להניח לנפלים.",כקליפת השום,0
"שתקתי בעת ששקרת לחברתך, כי לא רציתי להלבין <mask>",הלבין פני חברו,1
"שתקתי בעת ששקרת לחברתך, כי לא רציתי להלבין <mask>",מלחך פנכה,0
"דברי אלוף הפקוד ביחס לאמצעי המגון הניחו <mask> התושבים, שהיו נסערים לאחר הפגיעה בעירם.",הניח דעתו,1
"דברי אלוף הפקוד ביחס לאמצעי המגון הניחו <mask> התושבים, שהיו נסערים לאחר הפגיעה בעירם.",לפניו הולך שמו,0
"לצער החברה הישראלית, כל מי שניסה להחזיר הביתה את הנוט השבוי רון ארד, שמטוס היפנטום שלו הפל מעל שמי צידון שבלבנון בששה עשר באוקטובר 1986, העלה <mask>",העלה חרס בידו,1
"לצער החברה הישראלית, כל מי שניסה להחזיר הביתה את הנוט השבוי רון ארד, שמטוס היפנטום שלו הפל מעל שמי צידון שבלבנון בששה עשר באוקטובר 1986, העלה <mask>",לא נס לחו,0
"החתן והכלה התכוננו היטב ועמלו קשות לעריכת טקס הנשואין, אולם הרב הציג דרישות מחמירות, ובכך <mask> פיה.",הפך קערה על פיה,1
"החתן והכלה התכוננו היטב ועמלו קשות לעריכת טקס הנשואין, אולם הרב הציג דרישות מחמירות, ובכך <mask> פיה.",גמר עליו את ההלל,0
קינת דוד על שאול ויהונתן פותחת בקריאת התמיהה: <mask>,הצבי ישראל על במותיך חלל איך נפלו גיבורים,1
קינת דוד על שאול ויהונתן פותחת בקריאת התמיהה: <mask>,מסולתה ומשמנה,0
"חברת הכנסת היתה מקבלת כאשה ישרה ונאמנה, עד שנתפרסמה הפרשה בדבר השוחד שלפני הבחירות , בכך <mask>",הקדיח תבשילו ברבים,1
"חברת הכנסת היתה מקבלת כאשה ישרה ונאמנה, עד שנתפרסמה הפרשה בדבר השוחד שלפני הבחירות , בכך <mask>",כמרקחה,0
"הנסיונות להתרה <mask> המדיני עם שכנינו אינם מצליחים, לצערִי, והשלום המצפה עדין אינו בהישג יד.",הקשר הגורדי,1
"הנסיונות להתרה <mask> המדיני עם שכנינו אינם מצליחים, לצערִי, והשלום המצפה עדין אינו בהישג יד.",איפכא מסתברא,0
בעת בקר השר בועידה הרהבתי <mask> אליו בשאלה.,הרהיב עוז בנפשו,1
בעת בקר השר בועידה הרהבתי <mask> אליו בשאלה.,בור ועם הארץ,0
אדם שהשתלט על חוף הרחצה והחל לגבות תשלום עבור הכניסה נשאל: הרצחת <mask>,הרצחת וגם ירשת,1
אדם שהשתלט על חוף הרחצה והחל לגבות תשלום עבור הכניסה נשאל: הרצחת <mask>,אני ואפסי עוד,0
"תלמידי הכתה והוריהם השליכו <mask> המחנכת, ברוכת הכשרונות בתחומים שונים ומגוונים.",השליך יהבו עליו,1
"תלמידי הכתה והוריהם השליכו <mask> המחנכת, ברוכת הכשרונות בתחומים שונים ומגוונים.",זעקת שבר,0
"לוחמי הצבא בים, באויר וביבשה משליכים נפשם <mask> על מדינת ישראל.",השליך נפשו מנגד,1
"לוחמי הצבא בים, באויר וביבשה משליכים נפשם <mask> על מדינת ישראל.",בין השיטין,0
"מאחר שתחביבו של רותם הוא רכיבה על סוסים, תחביב שירש מאביו, והוא מצטין ברכיבה ובפעלולים שונים ומגוונים, מודים כל רואיו, שהתפוח <mask>",התפוח אינו נופל רחוק מן העץ,1
"מאחר שתחביבו של רותם הוא רכיבה על סוסים, תחביב שירש מאביו, והוא מצטין ברכיבה ובפעלולים שונים ומגוונים, מודים כל רואיו, שהתפוח <mask>",ישב תחת גפנו ותחת תאנתו,0
"הכדורגלן שהצליח מאוד בארץ ובעולם, נתק את קשריו עם קבוצתו בארץ וישמן <mask>",וישמן ישורון ויבעט,1
"הכדורגלן שהצליח מאוד בארץ ובעולם, נתק את קשריו עם קבוצתו בארץ וישמן <mask>",פקח את עיניו,0
"שוטר התנועה הסביר לנהג העברין את מהות העברה שנתבצעה, בקש רשיונות <mask>",ותו לא,1
"שוטר התנועה הסביר לנהג העברין את מהות העברה שנתבצעה, בקש רשיונות <mask>",היה לו לזרא,0
"פלוני שההשתל אצלו כבד בטרם נתגלתה אצלו המחלה, היה ידוע כזולל <mask>",זולל וסובא,1
"פלוני שההשתל אצלו כבד בטרם נתגלתה אצלו המחלה, היה ידוע כזולל <mask>",מודה ועוזב ירוחם,0
בראות ההורים את מפקד המנפת ועמו קצינה וטים בשער ביתם זעקו <mask> הבינו שבנם הטים נפל במלוי תפקידו.,זעקה גדולה ומרה,1
בראות ההורים את מפקד המנפת ועמו קצינה וטים בשער ביתם זעקו <mask> הבינו שבנם הטים נפל במלוי תפקידו.,קורע לב,0
בראות ההורים את מפקד הטיסת ועמו קצינה וטים בשער ביתם זעקו <mask> כי הבינו שבנם הטים נפל במלוי תפקידו.,זעקת שבר,1
בראות ההורים את מפקד הטיסת ועמו קצינה וטים בשער ביתם זעקו <mask> כי הבינו שבנם הטים נפל במלוי תפקידו.,וישמן ישורון ויבעט,0
"שוטה גמור, בעל חובות רבים שהעיריה הטילה חדל <mask> מתיחס לאיו.",חדל אישים,1
"שוטה גמור, בעל חובות רבים שהעיריה הטילה חדל <mask> מתיחס לאיו.",כלכל את דבריו,0
"לצערנו, מחיר הדלק מתייקר <mask>",חדשים לבקרים,1
"לצערנו, מחיר הדלק מתייקר <mask>",טלית שכולה תכלת,0
"הנסינות לשקם את העברין נכשלו, והאיש חזר <mask>",חזר לסורו,1
"הנסינות לשקם את העברין נכשלו, והאיש חזר <mask>",ישב תחת גפנו ותחת תאנתו,0
טיסי הצבא נלחמים <mask> כדי להגן על קיומה של מדינת ישראל.,חירוף נפש,1
טיסי הצבא נלחמים <mask> כדי להגן על קיומה של מדינת ישראל.,קרוב היום,0
"חבריו של הנערה הזהירה שלא תתיחס ברצינות להבטחות המחזר החדש, שכן כל דבריו שקר והיתול הם, והוא <mask>",חמד לו לצון,1
"חבריו של הנערה הזהירה שלא תתיחס ברצינות להבטחות המחזר החדש, שכן כל דבריו שקר והיתול הם, והוא <mask>",רחץ בנקיון כפיו,0
"העובד המצטין, המסור והנאמן לתפקידו חמור <mask> מתיצב לעבודתו מדי יום ביומו בשעה 06:00 בבקר.",חמור גרם,1
"העובד המצטין, המסור והנאמן לתפקידו חמור <mask> מתיצב לעבודתו מדי יום ביומו בשעה 06:00 בבקר.",כמרקחה,0
"בעת שהמורה התפרצה על התלמיד, השיבה לה המנהלת: <mask>",חמתה מים מלאה,1
"בעת שהמורה התפרצה על התלמיד, השיבה לה המנהלת: <mask>",כעת חיה,0
"המושיע לחברתו הטובעת בנהר, חסיד <mask> כיוון שאינו יודע לשחות.",חסיד שוטה,1
"המושיע לחברתו הטובעת בנהר, חסיד <mask> כיוון שאינו יודע לשחות.",על כרעי תרנגולת,0
השופט חייב להיות <mask>,חסר פניות,1
השופט חייב להיות <mask>,אותיות של טל ומטר,0
"דברי התוכחה שנאמרו לאב היו <mask> שכן הם פגעו לא רק באב, אלא גם בבן.",חרב פיפיות,1
"דברי התוכחה שנאמרו לאב היו <mask> שכן הם פגעו לא רק באב, אלא גם בבן.",שפה אחת ודברים אחדים,0
לפני מאתים שנים שלמתי לי שלשת אלפים ₪ תמורת ספר <mask> מטבין ותקילין.,טבין ותקילין,1
לפני מאתים שנים שלמתי לי שלשת אלפים ₪ תמורת ספר <mask> מטבין ותקילין.,גבה לבו,0
<mask> את כל הנסיבות להרחקתו מהמשרד.,טחו עיניו מראות,1
<mask> את כל הנסיבות להרחקתו מהמשרד.,מרבד קסמים,0
"נערה חביבה, עליך להזהר ממשי שטוען להופיע בפניך כטלית שכולה תכלת. <mask>",טלית שכולה תכלת,1
"נערה חביבה, עליך להזהר ממשי שטוען להופיע בפניך כטלית שכולה תכלת. <mask>",קרדום לחפור בו,0
"אנטנת יחי, לאחר שורת פגועים בישובי הצפון, הוקם משמר האזרחי, וביולי 1974 הצטרפתי ואני לא <mask> עזרה.",טמן ידו בצלחת,1
"אנטנת יחי, לאחר שורת פגועים בישובי הצפון, הוקם משמר האזרחי, וביולי 1974 הצטרפתי ואני לא <mask> עזרה.",עשה לו כנפיים,0
"במקום לטפל בבעיה, הוא טמן <mask> אם לא יראה את הבעיה, היא תעלם מאליה.",טמן ראשו בחול,1
"במקום לטפל בבעיה, הוא טמן <mask> אם לא יראה את הבעיה, היא תעלם מאליה.",יצאה נפשו,0
"העובדה שחדר האכל, חדר השנה וחדר האמבטיה היו תמיד נקיים ומסדרים, אך בסלון הבית שרר בלאגן תמידי, היתה בה <mask>",טעם לפגם,1
"העובדה שחדר האכל, חדר השנה וחדר האמבטיה היו תמיד נקיים ומסדרים, אך בסלון הבית שרר בלאגן תמידי, היתה בה <mask>",עולם כמנהגו נוהג,0
"הטייס שנפל בשבי האויב טעם <mask> לאחר ששוחרר וחזר ארצה, הוא הצליח להשתקם ולחזור לטיסות מבצעיות.",טעם מיתה,1
"הטייס שנפל בשבי האויב טעם <mask> לאחר ששוחרר וחזר ארצה, הוא הצליח להשתקם ולחזור לטיסות מבצעיות.",פקח את עיניו,0
"למרות שלמדתי היטב לבחינת הבגרות בלשון, איני בטוח שאצליח. חברי עודד אותי <mask> תאמין.",יגעת ומצאת תאמין,1
"למרות שלמדתי היטב לבחינת הבגרות בלשון, איני בטוח שאצליח. חברי עודד אותי <mask> תאמין.",דחק את רגליו,0
"כאשר שמעו הורי התלמידים את דבריו החריפים של מנהל בית הספר, הם שמו <mask>",יד לפה,1
"כאשר שמעו הורי התלמידים את דבריו החריפים של מנהל בית הספר, הם שמו <mask>",תולה את הקולר בצווארו,0
אנו מקוים שמשרדי הממשלה השונים ישתפו פעלה ויעזרו זה לזה בבחינת יד רוחצת <mask>,יד רוחצת יד,1
אנו מקוים שמשרדי הממשלה השונים ישתפו פעלה ויעזרו זה לזה בבחינת יד רוחצת <mask>,כמרקחה,0
"השר הממונה על חלוקת הקרקעות לאזרחים מעל בתפקידו, ולאחר שהוכח כי ידו <mask> נשלח לשנת מאסר.",ידו היתה במעל,1
"השר הממונה על חלוקת הקרקעות לאזרחים מעל בתפקידו, ולאחר שהוכח כי ידו <mask> נשלח לשנת מאסר.",אבן נגף,0
בסיומה של המערכה היתה ידו <mask>,ידו על העליונה,1
בסיומה של המערכה היתה ידו <mask>,דחק את רגליו,0
<mask> כי אין הוא שוכח להאכיל ולהשקות את בעלי החיים שלו.,יודע צדיק נפש בהמתו,1
<mask> כי אין הוא שוכח להאכיל ולהשקות את בעלי החיים שלו.,כמרקחה,0
"יוסי הוא בנו של יוסי, או בלשון אחרת: יוסי הוא <mask> של יוסי.",יוצא חלציו,1
"יוסי הוא בנו של יוסי, או בלשון אחרת: יוסי הוא <mask> של יוסי.",תקע כף,0
הקבלן <mask> ועין כיוון שנאלץ לשלם פיצויים גבוהים לקוני הדירות.,יצא בשן ועין,1
הקבלן <mask> ועין כיוון שנאלץ לשלם פיצויים גבוהים לקוני הדירות.,השליך יהבו עליו,0
"המסע לאירופה היה מהנה ומענין, אך יצא <mask> שעלותו היתה גבוהה מאוד.",יצא הפסדו בשכרו,1
"המסע לאירופה היה מהנה ומענין, אך יצא <mask> שעלותו היתה גבוהה מאוד.",סדום ועמורה,0
ועד השכונה <mask> התכנית להקים אנטנה סלולרית במרכז השכונה.,יצא חוצץ נגד,1
ועד השכונה <mask> התכנית להקים אנטנה סלולרית במרכז השכונה.,יצק מים על ידיו,0
"למרות החנוך הטוב שקבל הילד בביתו, הוא יצא <mask>",יצא לתרבות רעה,1
"למרות החנוך הטוב שקבל הילד בביתו, הוא יצא <mask>",היה כמרקחה,0
שמו של הרופא <mask> וחולים רבים בקשו להבדק על ידו.,יצא שמו למרחוק,1
שמו של הרופא <mask> וחולים רבים בקשו להבדק על ידו.,משנה סדורה לו,0
"לאחר שקיבל בני את רשיון הטיס, יצאה <mask> את מטוס הקרב החדיש ביותר.",יצאה נפשו,1
"לאחר שקיבל בני את רשיון הטיס, יצאה <mask> את מטוס הקרב החדיש ביותר.",טעם לפגם,0
"<mask> של אדם הגון וישר, ולכן הוא נבחר לשמש בורר בסכסוך העבודה.",יצאו לו מוניטין,1
"<mask> של אדם הגון וישר, ולכן הוא נבחר לשמש בורר בסכסוך העבודה.",די לחכימא ברמיזא,0
"הרב למד תורה אצל רבו, או בלשון אחרת: הרב יצק <mask> רבו.",יצק מים על ידיו,1
"הרב למד תורה אצל רבו, או בלשון אחרת: הרב יצק <mask> רבו.",חסר פניות,0
בני הזוג בקשו מהיועצת המשפטית לישר <mask>,ישר את ההדורים,1
בני הזוג בקשו מהיועצת המשפטית לישר <mask>,קופה של שרצים תלויה לו מאחוריו,0
<mask> לחיילי הצבא השומרים על בטחון תושבי המדינה!,ישר כח,1
<mask> לחיילי הצבא השומרים על בטחון תושבי המדינה!,קוצו של יוד,0
<mask> לעזר לך בשעורי הבית.,יש לאל ידו,1
<mask> לעזר לך בשעורי הבית.,תולה את הקולר בצווארו,0
"למתווך הדירות <mask> בעיריה, ולכן הוא מצליח לקדם את עניניו.",יש לו מהלכים,1
"למתווך הדירות <mask> בעיריה, ולכן הוא מצליח לקדם את עניניו.",שאלת תם,0
שופטי בית המשפט <mask> כדי למצוא פתרון לבעיה.,ישב על המדוכה,1
שופטי בית המשפט <mask> כדי למצוא פתרון לבעיה.,מקח טעות,0
עם ישראל חולם <mask> בארצו בשלום ובשלוה.,ישב תחת גפנו ותחת תאנתו,1
עם ישראל חולם <mask> בארצו בשלום ובשלוה.,חדשים לבקרים,0
"בעל המפעל פיטר את העובד החלש כדי למנות במקומו את בנו, ובכך הוא לקח ממנו <mask> הרש.",כבשת הרש,1
"בעל המפעל פיטר את העובד החלש כדי למנות במקומו את בנו, ובכך הוא לקח ממנו <mask> הרש.",שבע רצון,0
העובד <mask> כאשר נתפס בגנבה.,כבש פניו בקרקע,1
העובד <mask> כאשר נתפס בגנבה.,על עברי פי פחת,0
"הנהג החדש למד את כל חקי התעבורה על בורים, ובבואו לישם את שלמד, הוא נהג בשיטת <mask>",כזה ראה וקדש,1
"הנהג החדש למד את כל חקי התעבורה על בורים, ובבואו לישם את שלמד, הוא נהג בשיטת <mask>",כמרקחה,0
הילד הפעוט הוא <mask> ולכן חשוב מאוד להעניק לו חנוך טוב.,כחומר ביד היוצר,1
הילד הפעוט הוא <mask> ולכן חשוב מאוד להעניק לו חנוך טוב.,יצא חוצץ נגד,0
יום הלדתי נחוג <mask>,כיד המלך,1
יום הלדתי נחוג <mask>,עשה לו כנפיים,0
בעולם של תחרות ושל השגים <mask>,כל דאלים גבר,1
בעולם של תחרות ושל השגים <mask>,לשון המאזנים,0
"לאחר שנפוצה השמועה כי בארץ ישראל נמצאו מרבצי נפט גדולים, החלו להגיע אליה משקיעים מכל <mask>",כל קצווי ארץ,1
"לאחר שנפוצה השמועה כי בארץ ישראל נמצאו מרבצי נפט גדולים, החלו להגיע אליה משקיעים מכל <mask>",קרוב היום,0
התלמיד הכין את שעורי הבית <mask> ולכן לא הצליח במבחן.,כלאחר יד,1
התלמיד הכין את שעורי הבית <mask> ולכן לא הצליח במבחן.,טעם לפגם,0
<mask> בחכמה.,כלכל את דבריו,1
<mask> בחכמה.,הרצחת וגם ירשת,0
בין יום הכפורים לחג הסכות מפריד רק <mask>,כמהלך קליפת השום,1
בין יום הכפורים לחג הסכות מפריד רק <mask>,פתח בכד וסיים בחבית,0
הנער הסכים למלא את בקשתי <mask>,כמי שכפאו שד,1
הנער הסכים למלא את בקשתי <mask>,נאה דורש ואין נאה מקיים,0
הנצבים במשטרת ישראל <mask> לאחר ששמעו את דבריו של השר לבטחון פנים.,כמרקחה,1
הנצבים במשטרת ישראל <mask> לאחר ששמעו את דבריו של השר לבטחון פנים.,צרות עין,0
בני הנוער עמדו <mask> בתחנה המרכזית ובקשו תרומות למען ילדים חולי סרטן.,כעני בפתח,1
בני הנוער עמדו <mask> בתחנה המרכזית ובקשו תרומות למען ילדים חולי סרטן.,עמד בדיבורו,0
"אברהם ושרה בקרו אצל הרופא, והוא הבטיח להם כי כעת <mask> להם בן.",כעת חיה,1
"אברהם ושרה בקרו אצל הרופא, והוא הבטיח להם כי כעת <mask> להם בן.",בעידנא דריתחא,0
"היצירות של דוד קליין, הגרפיקאי והמעצב שזכה בפרס ישראל, הן כפתור ופרח. <mask>",כפתור ופרח,1
"היצירות של דוד קליין, הגרפיקאי והמעצב שזכה בפרס ישראל, הן כפתור ופרח. <mask>",על אפו ועל חמתו,0
"האשמות שהטיח השר במפכל המשטרה, היו חסרות כל ערך, או בלשון אחרת: ערכן היה כקליפת <mask>",כקליפת השום,1
"האשמות שהטיח השר במפכל המשטרה, היו חסרות כל ערך, או בלשון אחרת: ערכן היה כקליפת <mask>",גמר עליו את ההלל,0
השלום בין בני הזוג היה קשה <mask>,כקריעת ים סוף,1
השלום בין בני הזוג היה קשה <mask>,טמן ידו בצלחת,0
"לדעת רבים, התקציב השנתי של מדינת ישראל בנוי על כרעי <mask>",כרעי תרנגולת,1
"לדעת רבים, התקציב השנתי של מדינת ישראל בנוי על כרעי <mask>",טעם מיתה,0
"כדי שלא אשכח את בקשתה של רעיתי, כתבתי <mask>",כתב על לוח לבו,1
"כדי שלא אשכח את בקשתה של רעיתי, כתבתי <mask>",כלאחר יד,0
"חיי השכונה חזרו למסלולם, והם מתנהלים <mask>",כתמול שלשום,1
"חיי השכונה חזרו למסלולם, והם מתנהלים <mask>",לשון המאזנים,0
"אנטנת יחי, לאחר שורת פגועים בישובי הצפון, הוקם משמר האזרחי, וביולי 1974 הצטרפתי ואני לא <mask> עזרה.",לא טמן ידו בצלחת,1
"אנטנת יחי, לאחר שורת פגועים בישובי הצפון, הוקם משמר האזרחי, וביולי 1974 הצטרפתי ואני לא <mask> עזרה.",החזיר עטרה ליושנה,0
תרומתם של הציירים ושל היוצרים בקהילה לא יסולא <mask> העיר בטקס חלוקת הפרסים.,לא יסולא בפז,1
תרומתם של הציירים ושל היוצרים בקהילה לא יסולא <mask> העיר בטקס חלוקת הפרסים.,הרהיב עוז בנפשו,0
"המנהל של קבוצת הכדורגלן עזר לרכש המאמן החדש, לא מאהבתו <mask>",לא מאהבת מרדכי אלא משנאת המן,1
"המנהל של קבוצת הכדורגלן עזר לרכש המאמן החדש, לא מאהבתו <mask>",כקריעת ים סוף,0
"העיתונאי הבכיר השיב בטלפון לשר שנחשד בעבירה: איני מגיב, לא <mask>",לא מדובשך ולא מעוקצך,1
"העיתונאי הבכיר השיב בטלפון לשר שנחשד בעבירה: איני מגיב, לא <mask>",אותיות של טל ומטר,0
במסיבה הגדולה לא <mask>,לא מצא את ידיו ואת רגליו,1
במסיבה הגדולה לא <mask>,קורע לב,0
"אף-על-פי שלמורה מלאו ששים שנה, עדיין לא נס <mask>",לא נס לחו,1
"אף-על-פי שלמורה מלאו ששים שנה, עדיין לא נס <mask>",תולה את הקולר בצווארו,0
מנהל המפעל נהג על פי הכלל לא <mask> אפשר לעובדיו לאכל מפרי המפעל כרצונם.,לא תחסום שור בדישו,1
מנהל המפעל נהג על פי הכלל לא <mask> אפשר לעובדיו לאכל מפרי המפעל כרצונם.,מאחוריו תלויה לו קופה של שרצים,0
